date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,4,2,0.0,2.5,1,72,01:05 PM,04:25 AM,08:46 AM,03:16 PM,2,-2,3,-2,41,80,94,0.0,1014,4,10,248,24,linkoping
2015-01-02,6,2,0.0,6.6,1,80,01:43 PM,05:34 AM,08:46 AM,03:17 PM,2,-1,4,-1,47,63,89,0.0,991,6,10,242,28,linkoping
2015-01-03,2,-0,0.0,6.7,2,87,02:28 PM,06:34 AM,08:45 AM,03:19 PM,-2,-4,1,-4,42,23,80,0.0,996,2,10,277,24,linkoping
2015-01-04,1,-1,0.0,6.8,1,94,03:22 PM,07:26 AM,08:45 AM,03:20 PM,-7,-6,-0,-6,37,30,60,0.0,1011,1,10,302,22,linkoping
2015-01-05,-1,-3,0.0,6.8,2,100,04:22 PM,08:07 AM,08:44 AM,03:22 PM,-6,-5,-2,-5,19,9,71,0.0,1023,-1,10,288,11,linkoping
2015-01-06,-1,-3,0.1,6.8,1,100,05:28 PM,08:41 AM,08:44 AM,03:23 PM,-4,-7,-2,-7,24,57,83,0.1,1026,-1,10,173,15,linkoping
2015-01-07,0,-2,2.3,2.6,1,84,06:35 PM,09:08 AM,08:43 AM,03:25 PM,-2,-5,-1,-5,22,88,91,2.6,1016,0,7,190,14,linkoping
2015-01-08,4,1,0.0,2.6,1,77,07:44 PM,09:30 AM,08:42 AM,03:27 PM,2,-2,2,-2,36,86,95,0.0,1005,4,10,224,20,linkoping
2015-01-09,1,-2,0.0,6.9,1,69,08:52 PM,09:49 AM,08:41 AM,03:29 PM,-1,-4,-0,-4,23,45,93,0.0,993,1,7,265,13,linkoping
2015-01-10,3,-3,0.0,2.6,1,62,10:00 PM,10:06 AM,08:40 AM,03:30 PM,-2,-5,-0,-5,35,57,92,0.9,980,3,7,224,21,linkoping
