date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,6,4,0.0,2.7,2,72,01:29 PM,04:23 AM,08:37 AM,03:47 PM,4,0,5,0,44,81,92,0.0,1023,6,10,248,28,malmo
2015-01-02,7,5,0.0,6.7,2,80,02:08 PM,05:31 AM,08:36 AM,03:48 PM,4,-0,6,-0,67,69,88,0.5,1005,7,10,250,43,malmo
2015-01-03,5,3,0.0,6.7,1,87,02:54 PM,06:30 AM,08:36 AM,03:49 PM,1,-1,4,-1,53,42,82,0.9,1007,5,10,276,33,malmo
2015-01-04,4,3,0.0,7.1,2,94,03:48 PM,07:22 AM,08:36 AM,03:50 PM,-2,-2,3,-2,47,7,69,0.0,1017,4,10,310,29,malmo
2015-01-05,3,1,0.0,4.7,1,100,04:47 PM,08:04 AM,08:35 AM,03:52 PM,-1,-0,3,-0,17,64,80,1.9,1024,3,10,227,11,malmo
2015-01-06,4,2,0.0,6.7,1,100,05:50 PM,08:39 AM,08:35 AM,03:53 PM,-1,-2,3,-2,35,54,77,0.0,1025,4,10,158,22,malmo
2015-01-07,5,2,0.0,6.7,1,84,06:55 PM,09:09 AM,08:34 AM,03:55 PM,2,-1,4,-1,34,70,89,0.3,1019,5,9,230,22,malmo
2015-01-08,6,4,0.0,2.7,1,77,08:01 PM,09:34 AM,08:33 AM,03:56 PM,4,0,5,0,44,96,93,0.9,1012,6,8,232,29,malmo
2015-01-09,5,4,0.0,2.7,1,69,09:07 PM,09:55 AM,08:33 AM,03:58 PM,3,-1,5,-1,60,72,88,5.9,999,5,9,255,38,malmo
2015-01-10,8,4,0.0,2.7,2,62,10:12 PM,10:15 AM,08:32 AM,03:59 PM,4,0,5,0,56,76,89,1.8,990,8,9,255,36,malmo
2015-01-11,5,4,0.0,7.7,2,55,11:18 PM,10:34 AM,08:31 AM,04:01 PM,-0,-2,4,-2,66,27,73,0.1,993,5,10,275,43,malmo
2015-01-12,6,4,0.0,2.9,2,48,No moonrise,10:54 AM,08:30 AM,04:02 PM,4,0,5,0,52,88,93,0.0,1000,6,10,242,32,malmo
2015-01-13,6,4,0.0,2.9,2,40,12:25 AM,11:15 AM,08:29 AM,04:04 PM,4,1,5,1,38,77,94,2.8,998,6,9,231,24,malmo
2015-01-14,4,3,0.0,6.8,1,33,01:33 AM,11:39 AM,08:28 AM,04:06 PM,2,-1,4,-1,35,52,86,0.9,1001,4,10,241,22,malmo
2015-01-15,6,2,0.0,2.9,1,26,02:42 AM,12:07 PM,08:27 AM,04:08 PM,2,-1,4,-1,48,77,88,2.3,1000,6,10,196,31,malmo
2015-01-16,6,5,0.0,2.9,2,19,03:51 AM,12:42 PM,08:26 AM,04:09 PM,4,1,5,1,42,87,87,0.0,999,6,10,224,26,malmo
2015-01-17,4,3,0.0,6.8,1,11,04:58 AM,01:27 PM,08:25 AM,04:11 PM,1,-0,4,-0,32,58,84,0.0,1007,4,10,246,20,malmo
2015-01-18,3,2,0.0,3.0,1,4,06:00 AM,02:22 PM,08:24 AM,04:13 PM,-0,-2,2,-2,24,77,83,0.0,1013,3,10,212,15,malmo
2015-01-19,3,2,1.4,3.0,1,0,06:54 AM,03:30 PM,08:22 AM,04:15 PM,1,-1,2,-1,18,94,91,1.7,1014,3,8,168,12,malmo
2015-01-20,2,2,0.8,3.0,1,0,07:40 AM,04:46 PM,08:21 AM,04:17 PM,1,-2,2,-2,23,100,91,1.0,1014,2,8,127,15,malmo
2015-01-21,2,1,0.2,3.0,1,3,08:18 AM,06:09 PM,08:20 AM,04:19 PM,1,0,2,0,8,97,95,0.2,1015,2,5,232,5,malmo
2015-01-22,2,-0,0.0,6.8,1,10,08:49 AM,07:35 PM,08:18 AM,04:21 PM,-0,1,1,1,4,76,93,0.0,1021,2,9,209,2,malmo
