date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01,4,1,0.0,1.5,1,72,12:50 PM,04:19 AM,08:44 AM,02:58 PM,2,-2,3,-2,50,74,93,0.2,1010,4,10,259,29,stockholm
2015-01-02,5,1,0.0,6.6,1,80,01:27 PM,05:29 AM,08:44 AM,03:00 PM,2,-2,4,-2,60,63,88,6.1,987,5,10,241,35,stockholm
2015-01-03,1,-1,0.0,6.6,2,87,02:12 PM,06:30 AM,08:43 AM,03:01 PM,-3,-6,0,-6,61,12,77,0.0,990,1,10,287,35,stockholm
2015-01-04,0,-1,0.0,6.6,2,94,03:06 PM,07:22 AM,08:43 AM,03:03 PM,-6,-7,-1,-7,49,13,65,0.0,1005,0,10,314,30,stockholm
2015-01-05,-1,-3,0.0,6.6,2,100,04:07 PM,08:03 AM,08:42 AM,03:05 PM,-5,-6,-2,-6,27,30,80,0.0,1020,-1,10,269,16,stockholm
2015-01-06,0,-3,0.0,2.5,1,100,05:14 PM,08:35 AM,08:41 AM,03:06 PM,-4,-6,-1,-6,30,77,82,0.0,1027,0,10,187,18,stockholm
2015-01-07,1,-1,0.0,2.5,1,84,06:22 PM,09:01 AM,08:40 AM,03:08 PM,-2,-5,0,-5,38,86,86,1.0,1017,1,8,208,24,stockholm
2015-01-08,3,1,0.0,2.5,1,77,07:31 PM,09:23 AM,08:39 AM,03:10 PM,1,-3,2,-3,47,79,93,1.5,1003,3,10,233,27,stockholm
2015-01-09,0,-2,0.0,6.7,1,69,08:40 PM,09:41 AM,08:38 AM,03:12 PM,-2,-5,-1,-5,28,51,94,0.0,991,0,9,290,16,stockholm
2015-01-10,2,-4,0.0,4.6,1,62,09:50 PM,09:57 AM,08:37 AM,03:14 PM,-3,-6,-1,-6,36,49,89,6.3,980,2,9,236,22,stockholm
2015-01-11,0,-4,0.0,2.6,1,55,11:00 PM,10:13 AM,08:36 AM,03:16 PM,-3,-8,-1,-8,41,99,91,1.4,976,0,7,312,28,stockholm
2015-01-12,3,-7,0.1,2.6,1,48,No moonrise,10:29 AM,08:35 AM,03:18 PM,-3,-8,-2,-8,38,67,93,1.1,991,3,10,227,23,stockholm
2015-01-13,2,1,0.0,6.9,1,40,12:10 AM,10:46 AM,08:34 AM,03:20 PM,-1,-4,2,-4,54,29,83,0.5,989,2,10,239,31,stockholm
2015-01-14,1,1,0.0,6.9,2,33,01:22 AM,11:07 AM,08:32 AM,03:22 PM,-1,-5,1,-5,45,25,85,0.0,993,1,10,236,27,stockholm
2015-01-15,3,0,0.0,6.9,1,26,02:35 AM,11:32 AM,08:31 AM,03:24 PM,-0,-4,2,-4,53,53,86,3.1,999,3,10,207,33,stockholm
2015-01-16,4,3,0.0,6.7,1,19,03:48 AM,12:03 PM,08:29 AM,03:26 PM,1,-2,3,-2,58,52,86,0.0,991,4,10,216,35,stockholm
2015-01-17,3,1,0.0,6.7,1,11,04:57 AM,12:45 PM,08:28 AM,03:28 PM,-1,-4,2,-4,55,45,81,0.1,998,3,10,231,34,stockholm
2015-01-18,2,1,0.9,2.6,1,4,06:00 AM,01:40 PM,08:26 AM,03:31 PM,0,-3,2,-3,43,84,88,1.1,1008,2,9,254,27,stockholm
2015-01-19,0,-0,0.9,2.7,1,0,06:54 AM,02:48 PM,08:25 AM,03:33 PM,-1,-3,0,-3,19,99,89,1.0,1019,0,7,148,12,stockholm
2015-01-20,1,-0,0.6,2.7,1,0,07:37 AM,04:08 PM,08:23 AM,03:35 PM,-1,-4,1,-4,33,98,87,0.8,1023,1,7,104,21,stockholm
2015-01-21,1,-0,0.7,2.7,1,3,08:10 AM,05:36 PM,08:21 AM,03:38 PM,-2,-6,1,-6,42,100,86,2.5,1021,1,5,102,28,stockholm
2015-01-22,0,-1,1.5,2.7,1,10,08:37 AM,07:06 PM,08:19 AM,03:40 PM,-1,-4,-0,-4,18,100,92,1.8,1021,0,6,167,12,stockholm
2015-01-23,-4,-8,0.1,7.3,1,18,09:01 AM,08:35 PM,08:17 AM,03:42 PM,-6,-11,-5,-11,25,58,94,0.1,1021,-4,8,282,16,stockholm
2015-01-24,0,-5,0.0,2.7,1,25,09:22 AM,10:03 PM,08:16 AM,03:45 PM,-3,-8,-2,-8,39,91,89,0.0,1015,0,10,212,25,stockholm
2015-01-25,-0,-3,0.1,2.7,1,32,09:42 AM,11:29 PM,08:14 AM,03:47 PM,-2,-5,-1,-5,21,91,92,0.1,1017,-0,8,253,13,stockholm
2015-01-26,2,-4,0.0,2.8,1,39,10:04 AM,No moonset,08:12 AM,03:50 PM,-2,-6,-1,-6,35,72,93,1.0,1012,2,10,208,22,stockholm
2015-01-27,1,-4,0.9,4.8,1,47,10:27 AM,12:50 AM,08:10 AM,03:52 PM,-2,-5,-1,-5,21,67,93,1.0,1006,1,6,291,12,stockholm
2015-01-28,2,-3,0.0,2.8,1,54,10:56 AM,02:08 AM,08:08 AM,03:55 PM,-0,-5,1,-5,46,81,93,0.3,995,2,9,210,29,stockholm
2015-01-29,2,1,0.0,4.8,1,61,11:30 AM,03:20 AM,08:05 AM,03:57 PM,-0,-4,2,-4,51,77,86,0.1,976,2,9,191,33,stockholm
