Elbas Flow in MWh/h;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data was last updated 25-04-2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Hours;SE4 > DK2;DK2 > SE4;SE2 > SE3;SE3 > SE2;SE3 > SE4;SE4 > SE3;SE3 > DK1;DK1 > SE3;SE1 > FI;FI > SE1;SE3 > FI;FI > SE3;NO1 > NO2;NO2 > NO1;SE3 > NO1;NO1 > SE3;SE2 > NO3;NO3 > SE2;SE1 > NO4;NO4 > SE1;SE2 > NO4;NO4 > SE2;DK2 > 50HZ;50HZ > DK2;NO2 > DK1;DK1 > NO2;NO3 > NO4;NO4 > NO3;NO1 > NO3;NO3 > NO1;SE1 > SE2;SE2 > SE1;NO1 > NO5;NO5 > NO1;NO5 > NO2;NO2 > NO5;EE > FI;FI > EE;DK1 > DK2;DK2 > DK1;NO2 > NL;NL > NO2;LT > LV;LV > LT;EE > LV;LV > EE;BE > NL;NL > BE;FI > FRE;FRE > FI;SE4 > LT;LT > SE4
01-01-2015;00 - 01;0;0;0;22,3;0;0,3;0;0;11,7;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,7;5;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
01-01-2015;01 - 02;0;0;21,5;0;0,3;0;0;0;27,4;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27,5;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
01-01-2015;02 - 03;0;0;5,3;0;0;3,8;0;0;31,7;0;0;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29,8;0;0;0;0;1,3;0;2,2;0;0;0;0;0;0;1,3;0;0;;;;
01-01-2015;03 - 04;0;0;26,8;0;0;3,6;0;0;30;0;0;36,4;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;30;0;0;0;0;2,1;0;25;0;0;0;0;0;0;2,1;0;0;;;;
01-01-2015;04 - 05;0;0;39;0;0;4;0;0;22,4;0;0;21,3;0;0;0;0;0;0;0;0;0;0;7,4;0;0;0;0;0;0;0;0;19,9;0;0;0;0;0;24,7;0;5;0;0;0;15,7;15,7;0;0;0;;;;
01-01-2015;05 - 06;0;0;0;4,5;0;4,2;0;0;20;0;0;27;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;18,4;0;0;0;0;0;6;0;8;0;0;0;0;0;0;0;0;;;;
01-01-2015;06 - 07;0;0;0;12,8;0;4,5;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,3;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;;;;
01-01-2015;07 - 08;0;0;2;0;0;5,2;0;0;13,1;0;0;10,5;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;15;0;20;0;0;8;36;0;20;0;0;0;0;0;0;0;;;;
01-01-2015;08 - 09;0;0;0;29,8;0;7,1;0;0;24,9;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24,9;0;5;0;0;0;9;20;0;0;0;0;0;0;0;0;0;;;;
01-01-2015;09 - 10;0;0;0;35,2;0;7,9;0;0;17,9;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17,9;0;6;0;0;7,8;0;32,1;0;0;0;2;0;0;4,7;0;0;;;;
01-01-2015;10 - 11;0;0;0;71,9;0;8,2;0;0;26,5;0;0;7;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26,5;0;49;0;20;31;0;31,9;0;0;20;26;0;0;27,5;0;0;;;;
01-01-2015;11 - 12;63;0;0;59,5;55;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;20,4;0;171,6;0;0;0;18;0;0;17;0;0;;;;
01-01-2015;12 - 13;0;0;0;88;0;0;0;0;10;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;0;0;0;0;8,9;0;63;0;0;0;1;0;0;4,2;0;0;;;;
01-01-2015;13 - 14;0;70,1;0;74,8;0;8,1;0;0;6,5;0;67,3;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23,9;0;13;0;0;0;2,5;0;0;0;0;0;5,6;5,9;0;0;0;;;;
01-01-2015;14 - 15;0;148,7;0;145,2;0;8,8;0;0;24,2;0;21,2;0;0;14;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46,2;0;28;14;0;26,6;0;0;0;0;0;0;0;0;26,6;0;10;;;;
01-01-2015;15 - 16;0;13;0;140,3;0;22,8;0;0;34,8;0;0;3,2;0;3;0;7,1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60,7;0;34,1;3;0;4,4;0;0;0;0;0;0;0;0;4,4;0;0;;;;
