Elbas Flow in MWh/h;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data was last updated 01-01-2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Hours;SE4 > DK2;DK2 > SE4;SE2 > SE3;SE3 > SE2;SE3 > SE4;SE4 > SE3;SE3 > DK1;DK1 > SE3;SE1 > FI;FI > SE1;SE3 > FI;FI > SE3;NO1 > NO2;NO2 > NO1;SE3 > NO1;NO1 > SE3;SE2 > NO3;NO3 > SE2;SE1 > NO4;NO4 > SE1;SE2 > NO4;NO4 > SE2;DK2 > 50HZ;50HZ > DK2;NO2 > DK1;DK1 > NO2;NO3 > NO4;NO4 > NO3;NO1 > NO3;NO3 > NO1;SE1 > SE2;SE2 > SE1;NO1 > NO5;NO5 > NO1;NO5 > NO2;NO2 > NO5;EE > FI;FI > EE;DK1 > DK2;DK2 > DK1;NO2 > NL;NL > NO2;LT > LV;LV > LT;EE > LV;LV > EE;BE > NL;NL > BE;FI > FRE;FRE > FI;SE4 > LT;LT > SE4;NO3 > NO5;NO5 > NO3
01-01-2017;00 - 01;102;0;65,6;0;174,7;0;0;14;20;0;0;151,1;0;0;36;0;0;0;0;0;0;0;259,7;0;0;0;0;0;0;0;69;0;36;0;0;0;1,4;0;130,7;0;0;0;0;0,9;0;1,4;;;0;0;0;2,3;0;0
01-01-2017;01 - 02;191,1;0;137,8;0;261,4;0;0;19;30;0;0;147,3;0;0;31;0;0;0;1;0;0;0;347,2;0;0;0;0;0;0;0;77,1;0;31;0;0;0;1;0;168,5;0;0;0;0,7;0;0;1;;;0;0;0;0,3;0;1
01-01-2017;02 - 03;133;0;60,6;0;203,7;0;0;9;17,8;0;0;191;0;0;28;0;0;0;0;0;0;0;394,2;0;0;0;0;0;0;0;108,5;0;41;0;41;0;3,7;0;234,2;0;0;0;3,7;0;0;3,7;;;0;0;0;0;0;0
01-01-2017;03 - 04;226,5;0;115,7;0;295,2;0;0;0;0;0;0;136,4;0;0;0;0;0;18;0;0;0;10;520,3;0;0;0;0;0;0;0;131,2;0;15;0;48;0;3,7;0;371;0;0;0;2,3;0;0;3,7;;;0;0;0;1,4;0;13
01-01-2017;04 - 05;291,4;0;125,5;0;360,6;0;0;1;0;0;0;168,6;0;12;0;9;0;24;0;0;0;13;564,7;0;0;0;0;0;0;0;90;0;18;0;53;0;3,7;0;289,7;0;0;0;2;0;0;3,7;;;0;0;0;1,7;0;0
01-01-2017;05 - 06;384,4;0;193,6;0;377,9;0;0;14;0;0;0;131,4;0;8;13;0;0;17;0;0;0;26;386,5;0;0;0;0;0;0;0;74,8;0;21;0;8;0;1,4;0;2,1;0;0;0;0;1,1;0;1,4;;;0;0;0;2,5;0;0
01-01-2017;06 - 07;216,2;0;135,8;0;212,7;0;0;1;36,4;0;0;0;0;0;3;0;0;17;0;0;0;15;237,6;0;0;0;0;0;0;0;37,9;0;18;0;0;3;0;2,8;21,4;0;0;0;0;5,9;2,8;0;;;0;0;0;0,3;0;0
01-01-2017;07 - 08;0;2;0;28,3;1;0;0;1;82,1;0;0;0;0;0;2;0;0;7,3;0;0;0;1;50;0;0;0;0;0;0;0;0;13,9;14;0;18,7;0;41;0;52;0;10;0;4,5;0;0;11;;;0;0;4,5;0;0;7,3
01-01-2017;08 - 09;256,4;0;171,8;0;296,2;0;0;1;10;0;0;65,6;0;0;2;0;2;0;0;0;0;10;318,4;0;0;0;0;0;0;0;144,7;0;7;0;23;0;105,8;0;52;0;4,3;0;41,9;0;0;56,8;;;0;0;39,6;0;0;0
01-01-2017;09 - 10;967,6;0;448,5;0;1009,5;0;0;0;0;0;0;181,7;0;279,3;0;279,3;0;1;0;0;0;90;1015,1;0;0;0;0;0;0;0;196,3;0;0;0;1;0;15;0;51,2;0;0;0;0;41,3;17;0;;;0;0;0;42,8;0;0
