Elspot capacities SE in MW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data was last updated 24-04-2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Hours;SE2 > SE3;SE3 > SE2;SE3 > SE4;SE4 > SE3;DK2 > SE4;SE4 > DK2;NO1 > SE3;SE3 > NO1;SE1 > SE2;SE2 > SE1;SE3 > DK1;DK1 > SE3;SE1 > FI;FI > SE1;SE3 > FI;FI > SE3;SE2 > NO3;NO3 > SE2;SE1 > NO4;NO4 > SE1;SE2 > NO4;NO4 > SE2;SE4 > PL;PL > SE4;SE4 > PL;PL > SE4;SE4 > LT;LT > SE4
01-01-2015;00 - 01;6500;7300;5200;2000;947;1300;2145;1158;3000;3300;350;350;1490;1110;1200;1200;700;600;450;650;150;150;0;300;;;;
01-01-2015;01 - 02;6500;7300;5200;2000;849;1300;2145;1048;3000;3300;350;325;1480;1120;1200;1200;700;600;450;650;150;150;0;300;;;;
01-01-2015;02 - 03;6500;7300;5200;2000;832;1300;2145;1029;3000;3300;350;318;1480;1120;1200;1200;700;600;450;650;150;150;0;300;;;;
01-01-2015;03 - 04;6500;7300;5200;2000;825;1300;2145;1021;3000;3300;350;316;1480;1120;1200;1200;700;600;450;650;150;150;0;300;;;;
01-01-2015;04 - 05;6500;7300;5200;2000;829;1300;2145;1026;3000;3300;350;317;1480;1120;1200;1200;700;600;450;650;150;150;0;300;;;;
01-01-2015;05 - 06;6500;7300;5200;2000;835;1300;2145;1032;3000;3300;350;319;1490;1110;1200;1200;700;600;450;650;150;150;0;300;;;;
01-01-2015;06 - 07;6500;7300;5200;2000;900;1300;2120;1105;3000;3300;350;344;1480;1120;1200;1200;700;600;450;650;150;150;0;100;;;;
01-01-2015;07 - 08;6500;7300;5200;2000;1110;1300;2120;1341;3000;3300;350;350;1480;1120;1200;1200;700;600;450;650;250;150;0;0;;;;
01-01-2015;08 - 09;6500;7300;5200;2000;1207;1300;2120;1450;3000;3300;350;350;1470;1130;1200;1200;750;600;450;650;250;150;0;0;;;;
01-01-2015;09 - 10;6500;7300;5200;2000;1202;1300;2120;1444;3000;3300;350;350;1470;1130;1200;1200;750;600;450;650;250;150;0;100;;;;
01-01-2015;10 - 11;6500;7300;5200;2000;1134;1300;2120;1368;3000;3300;350;350;1460;1140;1200;1200;750;600;450;650;250;150;400;100;;;;
01-01-2015;11 - 12;6500;7300;5200;2000;1180;1300;2120;1419;3000;3300;350;350;1450;1150;1200;1200;750;600;450;650;250;150;600;100;;;;
01-01-2015;12 - 13;6500;7300;5200;2000;1226;1300;2120;1471;3000;3300;350;350;1460;1140;1200;1200;750;600;450;650;250;150;600;100;;;;
01-01-2015;13 - 14;6500;7300;5200;2000;1342;1300;2120;1601;3000;3300;350;350;1470;1130;1200;1200;750;600;450;650;250;150;600;100;;;;
01-01-2015;14 - 15;6500;7300;5200;2000;1384;1300;2120;1648;3000;3300;350;350;1470;1130;1200;1200;750;600;450;650;250;150;600;0;;;;
01-01-2015;15 - 16;6500;7300;5200;2000;1471;1300;2120;1746;3000;3300;350;350;1470;1130;1200;1200;750;600;450;650;250;150;600;0;;;;
01-01-2015;16 - 17;6500;7300;5200;2000;1312;1300;2120;1568;3000;3300;350;350;1470;1130;1200;1200;750;600;450;650;250;150;600;0;;;;
01-01-2015;17 - 18;6500;7300;5200;2000;1260;1300;2120;1509;3000;3300;350;350;1470;1130;1200;1200;750;600;450;650;250;150;600;0;;;;
01-01-2015;18 - 19;6500;7300;5200;2000;1208;1300;2120;1451;3000;3300;350;350;1470;1130;1200;1200;750;600;450;650;250;150;600;0;;;;
01-01-2015;19 - 20;6500;7300;5200;2000;1168;1300;2120;1406;3000;3300;350;350;1480;1120;1200;1200;750;600;450;650;250;150;600;0;;;;
01-01-2015;20 - 21;6500;7300;5200;2000;954;1300;2120;1166;3000;3300;350;350;1480;1120;1200;1200;700;600;450;650;250;150;600;0;;;;
