Elspot capacities SE in MW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data was last updated 10-01-2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Hours;SE2 > SE3;SE3 > SE2;SE3 > SE4;SE4 > SE3;DK2 > SE4;SE4 > DK2;NO1 > SE3;SE3 > NO1;SE1 > SE2;SE2 > SE1;SE3 > DK1;DK1 > SE3;SE1 > FI;FI > SE1;SE3 > FI;FI > SE3;SE2 > NO3;NO3 > SE2;SE1 > NO4;NO4 > SE1;SE2 > NO4;NO4 > SE2;SE4 > PL;PL > SE4;PLA > PL;PL > PLA;SE4 > LT;LT > SE4
01-01-2016;00 - 01;6700;7300;4800;2000;1397;1300;2110;1663;3300;3300;680;534;1500;1100;1200;1200;900;600;450;650;250;150;0;300;0;3600;0;0
01-01-2016;01 - 02;6700;7300;4800;2000;1268;1300;2110;1518;3300;3300;680;485;1490;1110;1200;1200;900;600;450;650;250;150;0;300;0;3900;0;0
01-01-2016;02 - 03;6700;7300;4800;2000;1229;1300;2110;1475;3300;3300;680;470;1490;1110;1200;1200;900;600;450;650;250;150;0;300;0;3900;0;0
01-01-2016;03 - 04;6700;7300;4800;2000;1228;1300;2110;1474;3300;3300;680;470;1490;1110;1200;1200;900;600;450;650;250;150;0;300;0;4000;0;0
01-01-2016;04 - 05;6700;7300;4800;2000;1201;1300;2110;1443;3300;3300;680;460;1490;1110;1200;1200;900;600;450;650;250;150;0;300;0;4100;0;0
01-01-2016;05 - 06;6700;7300;4800;2000;1255;1300;2110;1503;3300;3300;680;480;1490;1110;1200;1200;900;600;450;650;250;150;0;300;0;4200;0;0
01-01-2016;06 - 07;6700;7300;4800;2000;1362;1300;2110;1623;3300;3300;680;521;1490;1110;1200;1200;900;600;450;650;250;150;0;200;0;3600;0;0
01-01-2016;07 - 08;6700;7300;4800;2000;1700;1300;2110;2095;3300;3300;680;724;1490;1110;1200;1200;900;600;450;650;250;150;0;200;0;3700;0;0
01-01-2016;08 - 09;6700;7300;4800;2000;1700;1300;2110;2095;3300;3300;680;740;1490;1110;1200;1200;900;600;450;650;250;150;0;100;0;200;0;0
01-01-2016;09 - 10;6700;7300;4800;2000;1700;1300;2110;2095;3300;3300;680;740;1490;1110;1200;1200;900;600;450;650;250;150;0;100;0;200;0;0
01-01-2016;10 - 11;6700;7300;4800;2000;1700;1300;2110;2095;3300;3300;680;740;1490;1110;1200;1200;900;600;450;650;250;150;0;100;0;200;0;0
01-01-2016;11 - 12;6700;7300;4800;2000;1700;1300;2110;2095;3300;3300;680;740;1490;1110;1200;1200;900;600;450;650;250;150;0;200;0;2500;0;0
01-01-2016;12 - 13;6700;7300;4800;2000;1700;1300;2110;2095;3300;3300;680;740;1490;1110;1200;1200;900;600;450;650;250;150;0;200;0;2400;0;0
01-01-2016;13 - 14;6700;7300;4800;2000;1700;1300;2110;2095;3300;3300;680;740;1490;1110;1200;1200;900;600;450;650;250;150;200;200;400;2300;0;0
01-01-2016;14 - 15;6700;7300;4800;2000;1700;1300;2110;2095;3300;3300;680;740;1480;1120;1200;1200;900;600;450;650;250;150;400;200;800;2300;0;0
01-01-2016;15 - 16;6700;7300;4800;2000;1700;1300;2110;2095;3300;3300;680;740;1490;1110;1200;1200;900;600;450;650;250;150;600;200;1500;2000;0;0
01-01-2016;16 - 17;6700;7300;4800;2000;1700;1300;2110;2095;3300;3300;680;740;1480;1120;1200;1200;900;600;450;650;250;150;600;200;1500;1700;0;0
01-01-2016;17 - 18;6700;7300;4800;2000;1700;1300;2110;2095;3300;3300;680;740;1490;1110;1200;1200;900;600;450;650;250;150;600;200;1500;2000;0;0
01-01-2016;18 - 19;6700;7300;4800;2000;1700;1300;2110;2095;3300;3300;680;740;1480;1120;1200;1200;900;600;450;650;250;150;600;200;1500;1900;0;0
01-01-2016;19 - 20;6700;7300;4800;2000;1700;1300;2110;2095;3300;3300;680;740;1490;1110;1200;1200;900;600;450;650;250;150;600;300;1500;2100;0;0
01-01-2016;20 - 21;6700;7300;4800;2000;1700;1300;2110;2095;3300;3300;680;740;1490;1110;1200;1200;900;600;450;650;250;150;600;300;1500;2300;0;0
01-01-2016;21 - 22;6700;7300;4800;2000;1534;1300;2110;1817;3300;3300;680;587;1500;1100;1200;1200;900;600;450;650;250;150;600;300;1500;2600;0;0
01-01-2016;22 - 23;6700;7300;4800;2000;1527;1300;2110;1809;3300;3300;680;584;1500;1100;1200;1200;900;600;450;650;250;150;400;400;800;3500;0;0
01-01-2016;23 - 00;6700;7300;4800;2000;1458;1300;2110;1731;3300;3300;680;558;1490;1110;1200;1200;900;600;450;650;250;150;200;400;400;4100;0;0
02-01-2016;00 - 01;6700;7300;4800;2000;1519;1300;2110;1800;3300;3300;680;581;1480;1120;1200;1200;900;600;450;650;250;150;0;400;0;4500;0;0
