Elspot capacities SE in MW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data was last updated 31-12-2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Hours;SE2 > SE3;SE3 > SE2;SE3 > SE4;SE4 > SE3;DK2 > SE4;SE4 > DK2;NO1 > SE3;SE3 > NO1;SE1 > SE2;SE2 > SE1;SE3 > DK1;DK1 > SE3;SE1 > FI;FI > SE1;SE3 > FI;FI > SE3;SE2 > NO3;NO3 > SE2;SE1 > NO4;NO4 > SE1;SE2 > NO4;NO4 > SE2;SE4 > PL;PL > SE4;PLA > PL;PL > PLA;SE4 > LT;LT > SE4;SE4 > PL;PL > SE4;PLA > PL;PL > PLA;SE4 > LT;LT > SE4
01-01-2020;00 - 01;6600;7300;5100;2000;834;1300;1375;1123;3300;3300;715;363;1520;1080;1200;1200;1000;600;600;650;250;150;600;294;192;2683;700;343;;;;;;
01-01-2020;01 - 02;6600;7300;5100;2000;811;1300;1375;1095;3300;3300;715;353;1520;1080;1200;1200;1000;600;600;650;250;150;600;286;59;2677;700;334;;;;;;
01-01-2020;02 - 03;6600;7300;5100;2000;708;1300;1375;968;3300;3300;715;308;1520;1080;1200;1200;1000;600;600;650;250;150;600;250;25;2733;700;292;;;;;;
01-01-2020;03 - 04;6600;7300;5100;2000;629;1300;1375;870;3300;3300;715;274;1520;1080;1200;1200;1000;600;600;650;250;150;600;222;0;2788;700;259;;;;;;
01-01-2020;04 - 05;6600;7300;5100;2000;681;1300;1375;935;3300;3300;715;297;1520;1080;1200;1200;1000;600;600;650;250;150;600;241;0;2821;700;281;;;;;;
01-01-2020;05 - 06;6600;7300;5100;2000;709;1300;1375;968;3300;3300;715;309;1520;1080;1200;1200;1000;600;600;650;250;150;600;250;0;2833;700;292;;;;;;
01-01-2020;06 - 07;6600;7300;5100;2000;682;1300;1375;935;3300;3300;715;297;1520;1080;1200;1200;1000;600;600;650;250;150;600;241;0;2778;700;281;;;;;;
01-01-2020;07 - 08;6600;7300;5100;2000;705;1300;1375;964;3300;3300;715;307;1540;1060;1200;1200;1000;600;600;650;250;150;600;249;0;2815;700;290;;;;;;
01-01-2020;08 - 09;6600;7300;5100;2000;852;1300;1375;1145;3300;3300;715;371;1540;1060;1200;1200;1000;600;600;650;250;150;600;301;0;2781;700;351;;;;;;
01-01-2020;09 - 10;6600;7300;5100;2000;836;1300;1375;1125;3300;3300;715;364;1540;1060;1200;1200;1000;600;600;650;250;150;600;295;0;2741;700;344;;;;;;
01-01-2020;10 - 11;6600;7300;5100;2000;898;1300;1375;1202;3300;3300;715;391;1540;1060;1200;1200;1000;600;600;650;250;150;600;317;147;2853;700;370;;;;;;
01-01-2020;11 - 12;6600;7300;5100;2000;914;1300;1375;1222;3300;3300;715;398;1540;1060;1200;1200;1000;600;600;650;250;150;600;323;280;2751;700;376;;;;;;
01-01-2020;12 - 13;6600;7300;5100;2000;801;1300;1375;1082;3300;3300;715;349;1540;1060;1200;1200;1000;600;600;650;250;150;600;283;377;2580;700;330;;;;;;
01-01-2020;13 - 14;6600;7300;5100;2000;879;1300;1375;1178;3300;3300;715;383;1540;1060;1200;1200;1000;600;600;650;250;150;600;310;460;2450;700;362;;;;;;
01-01-2020;14 - 15;6600;7300;5100;2000;895;1300;1375;1197;3300;3300;715;389;1540;1060;1200;1200;1000;600;600;650;250;150;600;316;425;2506;700;368;;;;;;
01-01-2020;15 - 16;6600;7300;5100;2000;898;1300;1375;1202;3300;3300;715;391;1540;1060;1200;1200;1000;600;600;650;250;150;600;317;699;2536;700;370;;;;;;
01-01-2020;16 - 17;6600;7300;5100;2000;890;1300;1375;1192;3300;3300;715;388;1540;1060;1200;1200;1000;600;600;650;250;150;600;314;1099;2542;700;367;;;;;;
01-01-2020;17 - 18;6600;7300;5100;2000;878;1300;1375;1176;3300;3300;715;382;1540;1060;1200;1200;1000;600;600;650;250;150;600;310;1093;2594;700;361;;;;;;
01-01-2020;18 - 19;6600;7300;5100;2000;861;1300;1375;1156;3300;3300;715;375;1540;1060;1200;1200;1000;600;600;650;250;150;600;304;1082;2450;700;355;;;;;;
01-01-2020;19 - 20;6600;7300;5100;2000;866;1300;1375;1162;3300;3300;715;377;1540;1060;1200;1200;1000;600;600;650;250;150;600;306;874;2474;700;356;;;;;;
01-01-2020;20 - 21;6600;7300;5100;2000;745;1300;1375;1013;3300;3300;715;324;1540;1060;1200;1200;1000;600;600;650;250;150;600;263;647;2609;700;307;;;;;;
01-01-2020;21 - 22;6600;7300;5100;2000;756;1300;1375;1026;3300;3300;715;329;1540;1060;1200;1200;1000;600;600;650;250;150;600;267;426;3077;700;311;;;;;;
01-01-2020;22 - 23;6600;7300;5100;2000;754;1300;1375;1024;3300;3300;715;328;1540;1060;1200;1200;1000;600;600;650;250;150;600;266;224;3284;700;310;;;;;;
