Elspot flow SE in MWh/h;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data was last updated 24-04-2017;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Hours;SE2 > SE3;SE3 > SE2;SE3 > SE4;SE4 > SE3;SE4 > DK2;DK2 > SE4;SE3 > NO1;NO1 > SE3;SE3 > DK1;DK1 > SE3;SE1 > FI;FI > SE1;SE3 > FI;FI > SE3;SE1 > SE2;SE2 > SE1;SE2 > NO3;NO3 > SE2;SE1 > NO4;NO4 > SE1;SE2 > NO4;NO4 > SE2;SE4 > PL;PL > SE4;SE4 > LT;LT > SE4
01-01-2015;00 - 01;0;910,2;0;266,7;0;918,8;1158;0;0;350;304,5;0;1200;0;0;910,2;700;0;450;0;150;0;0;300;;
01-01-2015;01 - 02;0;1130,2;0;251,8;0;849;1048;0;0;325;191,1;0;1200;0;0;789,4;700;0;450;0;150;0;0;273,8;;
01-01-2015;02 - 03;0;1231,7;0;274,8;0;832;1029;0;0;318;80,6;0;1200;0;0;679,6;700;0;450;0;150;0;0;233,4;;
01-01-2015;03 - 04;0;1293,9;0;177,7;0;825;1021;0;0;316;118,8;0;1200;0;0;724,4;700;0;450;0;150;0;0;64,4;;
01-01-2015;04 - 05;0;1327,5;0;165,1;0;829;1026;0;0;317;168;0;1199,9;0;0;776,4;700;0;450;0;150;0;0;32,3;;
01-01-2015;05 - 06;0;1435,6;0;413,7;0;835;1032;0;0;319;291,9;0;1200;0;0;927,1;700;0;450;0;150;0;0;300;;
01-01-2015;06 - 07;0;1046,2;0;191,3;0;900;1105;0;0;344;88,8;0;1200;0;0;713,7;700;0;450;0;150;0;0;100;;
01-01-2015;07 - 08;0;692,9;0;216,2;0;1110;1214,7;0;0;350;199;0;1200;0;0;538,7;700;0;450;0;250;0;0;0;;
01-01-2015;08 - 09;0;570;0;285,3;0;1207;1317,3;0;0;350;167,7;0;1200;0;0;414,8;750;0;450;0;250;0;0;0;;
01-01-2015;09 - 10;0;391,1;0;326,8;0;1202;1444;0;0;350;192,9;0;1200;0;0;290,3;750;0;450;0;250;0;0;100;;
