Elspot flow SE in MWh/h;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data was last updated 09-11-2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Hours;SE2 > SE3;SE3 > SE2;SE3 > SE4;SE4 > SE3;SE4 > DK2;DK2 > SE4;SE3 > NO1;NO1 > SE3;SE3 > DK1;DK1 > SE3;SE1 > FI;FI > SE1;SE3 > FI;FI > SE3;SE > FI;FI > SE;SE1 > SE2;SE2 > SE1;SE2 > NO3;NO3 > SE2;SE1 > NO4;NO4 > SE1;SE2 > NO4;NO4 > SE2;SE4 > PL;PL > SE4;SE4 > LT;LT > SE4;SE4 > DE;DE > SE4
01-01-2019;00 - 01;0;1199,6;300,8;0;0;20;689;0;0;0;0;0;1022,1;0;1022,1;0;0;1067,5;1000;0;600;0;250;0;0;170;0;181,1;15;0
01-01-2019;01 - 02;0;1491,8;140,4;0;0;436,4;680;0;0;207;12,9;0;1200;0;1212,9;0;0;1088;1000;0;600;0;250;0;0;0;14,2;0;0;0
01-01-2019;02 - 03;0;1654,5;120,6;0;0;495;706;0;0;216;0;0;1200;0;1200;0;0;1064,2;1000;0;600;0;250;0;0;0;193,8;0;0;76
01-01-2019;03 - 04;0;1849,8;71,6;0;0;508;722;0;0;221;123,8;0;1200;0;1323,8;0;0;1123,3;1000;0;600;0;250;0;0;0;231,7;0;0;76
01-01-2019;04 - 05;0;1925,7;8,2;0;0;537;757;0;0;234;387;0;1199,9;0;1586,9;0;0;1170,1;1000;0;600;0;250;0;0;0;206,1;0;0;76
01-01-2019;05 - 06;0;2089,9;0;342,2;0;596;829;0;0;259;597;0;1200;0;1797;0;0;1356,4;1000;0;600;0;250;0;0;115,1;0;0;0;76
01-01-2019;06 - 07;0;1790,3;0;226,7;0;651;897;0;0;283;576,8;0;1200;0;1776,8;0;0;1141,9;1000;0;600;0;250;0;0;36,8;0;0;0;76
01-01-2019;07 - 08;0;1551,8;0;278,7;0;719;982;0;0;313;482;0;1200;0;1682;0;0;1014,8;1000;0;600;0;250;0;0;107,6;0;0;0;76
01-01-2019;08 - 09;0;1122;0;166,4;0;794;1074;0;0;346;123,8;0;1200;0;1323,8;0;0;684,4;1000;0;600;0;250;0;0;0;32,8;0;0;76
01-01-2019;09 - 10;0;1436,8;0;876,5;0;896;1199;0;0;390;497,2;0;1200;0;1697,2;0;0;1082,3;1000;0;600;0;250;0;0;316;0;295;0;76
01-01-2019;10 - 11;0;850,3;0;584,6;0;798;1078;0;0;347;369,3;0;1200;0;1569,3;0;0;818,9;1000;0;600;0;250;0;0;282;0;242,1;0;76
01-01-2019;11 - 12;0;471,6;0;558,7;0;826;1112;0;0;359;335;0;1200;0;1535;0;0;817,2;1000;0;600;0;250;0;0;291;0;219;0;76
01-01-2019;12 - 13;0;309,5;0;645,9;0;941;1255;0;0;410;241,3;0;1200;0;1441,3;0;0;638,9;1000;0;600;0;250;0;0;332;0;217,3;0;76
01-01-2019;13 - 14;0;228,2;0;620,3;0;943;1257;0;0;410;285,4;0;1200;0;1485,4;0;0;741,9;1000;0;600;0;250;0;0;333;0;204,5;0;76
01-01-2019;14 - 15;0;150,1;0;530,7;0;946;1260;0;0;412;445,5;0;1200;0;1645,5;0;0;776,6;1000;0;600;0;250;0;0;334;0;170,8;0;76
01-01-2019;15 - 16;351;0;0;362,9;0;1000;1327;0;0;435;248,2;0;1200;0;1448,2;0;0;375,7;1000;0;600;0;250;0;0;353;0;75,9;0;76
01-01-2019;16 - 17;860,9;0;0;41,1;0;1014;1344;0;0;441;39,2;0;1200;0;1239,2;0;0;245,1;1000;0;600;0;250;0;0;293,9;7,4;0;0;76
01-01-2019;17 - 18;989,4;0;68,7;0;0;1015;1345;0;0;442;35,7;0;1200;0;1235,7;0;0;217,8;1000;0;600;0;250;0;0;260;29,2;0;0;76
01-01-2019;18 - 19;966,1;0;267,8;0;0;887;1188;0;0;386;228;0;1200;0;1428;0;0;408,9;1000;0;600;0;250;0;0;181,5;45,7;0;0;76
01-01-2019;19 - 20;811,6;0;416,9;0;0;772;1046;0;0;336;190;0;1200;0;1390;0;0;370,4;1000;0;600;0;250;0;0;46,3;42,9;0;0;76
01-01-2019;20 - 21;101,2;0;230,1;0;0;633;875;0;0;276;0;0;1042,4;0;1042,4;0;0;324,4;1000;0;600;0;250;0;0;223;12,1;0;0;76
01-01-2019;21 - 22;0;202,7;56,9;0;0;630;871;0;0;274;20,9;0;1200;0;1220,9;0;0;546;1000;0;600;0;250;0;0;222;0;30,1;0;76
01-01-2019;22 - 23;0;432,2;243,9;0;0;554;778;0;0;241;0;0,1;1138,1;0;1138;0;0;631,9;1000;0;600;0;250;0;0;196;181;0;0;76
01-01-2019;23 - 00;0;584,3;152,3;0;0;495;705;0;0;216;2,1;0;1200;0;1202,1;0;0;788,1;1000;0;600;0;250;0;0;175;117,6;0;0;76
02-01-2019;00 - 01;0;1036,6;0;44,1;0;454;655;0;0;198;188,7;0;1200;0;1388,7;0;0;1139,3;1000;0;600;0;250;0;0;160;0;181,4;0;76
02-01-2019;01 - 02;0;998,1;0;123,2;0;472;677;0;0;205;97,8;0;1200;0;1297,8;0;0;1041,7;1000;0;600;0;250;0;0;167;0;194;0;76
02-01-2019;02 - 03;0;1006,3;0;106,9;0;469;673;0;0;204;67,1;0;1200;0;1267,1;0;0;1032,7;1000;0;600;0;250;0;0;166;0;193;0;76
02-01-2019;03 - 04;0;982,1;0;202,1;0;594;827;0;0;259;83,5;0;1200;0;1283,5;0;0;1009,9;1000;0;600;0;250;0;0;210;0;140,1;0;76
02-01-2019;04 - 05;0;854,4;0;197;0;676;928;0;0;294;321;0;1200;0;1521;0;0;955,3;1000;0;600;0;250;0;0;239;0;80,5;0;76
02-01-2019;05 - 06;0;207,1;0;0;0;780;1057;0;0;340;357,4;0;1200;0;1557,4;0;0;905,5;1000;0;600;0;250;0;0;275;94,2;0;0;76
02-01-2019;06 - 07;890,7;0;0;109,1;0;922;1231;0;0;401;385,3;0;1200;0;1585,3;0;0;426,3;1000;0;600;0;250;0;0;325;0;271,8;0;76
02-01-2019;07 - 08;1977,2;0;411,1;0;0;1007;1336;0;0;438;990,7;0;647,8;0;1638,5;0;0;0;1000;0;308,4;0;250;0;0;356;0;45,1;0;76
02-01-2019;08 - 09;2416,3;0;792,3;0;0;1078;1423;0;0;469;1460;0;164,2;0;1624,2;0;0;0;965,4;0;400,3;0;0;0;0;96,8;0;0;0;76
02-01-2019;09 - 10;3334,2;0;1460,3;0;0;629,3;1507;0;0;342,8;1459,9;0;107,3;0;1567,2;0;401,2;0;575,9;0;335,5;0;0;0;0;0;0;0;0;0
02-01-2019;10 - 11;2948,8;0;918,5;0;0;1183;1552;0;0;515;1459,9;0;117,8;0;1577,7;0;332,4;0;850,2;0;547,1;0;0;0;0;0;0;0;0;76
02-01-2019;11 - 12;3103;0;939,1;0;0;1166;1532;0;0;507;1460;0;178,7;0;1638,7;0;389,4;0;719;0;476;0;0,1;0;0;0;0;0;0;76
02-01-2019;12 - 13;3364,6;0;1034,3;0;0;1013,2;1603;0;0;533;1460;0;326,7;0;1786,7;0;299,3;0;781,1;0;534,1;0;0;0;0;0;0;0;0;76
02-01-2019;13 - 14;3451,1;0;768,9;0;0;1227;1608;0;0;202,4;1459,9;0;338,5;0;1798,4;0;304;0;784,4;0;535;0;0;0;0;27,6;0;0;0;76
02-01-2019;14 - 15;4271,4;0;1095,2;0;0;950,5;1707;0;0;0;1460;0;571,8;0;2031,8;0;536,8;0;352;0;298,5;0;0,1;0;0;0;0;0;0;76
02-01-2019;15 - 16;5022;0;2853,7;0;382,9;0;189;0;0;0;1460;0;750,5;0;2210,5;0;814,2;0;0;0;21,1;0;0;0;111,5;0;0;0;106;0
02-01-2019;16 - 17;5920,1;0;4303,4;0;1300;0;0;363,2;0;0;1460;0;528,6;0;1988,6;0;1259,5;0;0;241,7;0;0;0;150;585;0;0;0;0,6;0
02-01-2019;17 - 18;6165,8;0;4816,1;0;1300;0;0;447,2;0;0;1460;0;251,4;0;1711,4;0;1273,9;0;0;330,6;0;0;0;150;586,7;0;0;0;435,8;0
02-01-2019;18 - 19;6137,9;0;4468,7;0;1001,3;0;0;13,5;0;0;1460;0;266,6;0;1726,6;0;1274,5;0;0;354,4;0;0;0;150;364,5;0;0;0;615;0
02-01-2019;19 - 20;5649,4;0;4416,5;0;1136,8;0;0;0;1,7;0;1460;0;18,9;0;1478,9;0;1240;0;0;127,5;0;0;0;150;234,5;0;0;0;615;0
02-01-2019;20 - 21;5427,8;0;4089,2;0;1095,6;0;176,5;0;107,5;0;1137,2;0;0;0;1137,2;0;1285,1;0;0;43,3;0,1;0;0;150;23,6;0;0;0;615;0
02-01-2019;21 - 22;4617,9;0;3154,5;0;991,8;0;483,6;0;302,2;0;999,3;0;0;0;999,3;0;919,6;0;0;0;0;0;0;7,6;0;314;0;366;615;0
02-01-2019;22 - 23;3870;0;3359,3;0;1284,5;0;132,8;0;187,8;0;780,9;0;0;0;780,9;0;406,3;0;0;0;0;0;0;44;0;289;0;337;615;0
02-01-2019;23 - 00;2539,7;0;1382,2;0;0;0;975;0;187,8;0;425,7;0;220,6;0;646,3;0;0;0;373,6;0;0;0;0;0;0;252;0;294;15;0
03-01-2019;00 - 01;1389,4;0;275,9;0;0;708;968;0;187,8;0;29,6;0;473,2;0;502,8;0;0;0;446,6;0;0;0;0;0;0;250;0;292;0;262
03-01-2019;01 - 02;639,6;0;96,3;0;0;771;1045;0;0;271,9;0;0;416;0;416;0;0;2,6;706,8;0;0;0;165,1;0;0;272;0;318;0;285
03-01-2019;02 - 03;380;0;214,9;0;0;611,2;743;0;0;349;0;0,1;453,1;0;453;0;0;19,2;805,3;0;0;0;147,1;0;0;283;0;330;0;297
03-01-2019;03 - 04;388,2;0;332,7;0;0;456,6;453;0;0;363;5,6;0;595,3;0;600,9;0;0;0;762,3;0;0;0;151,5;0;0;294;0;343;0;309
03-01-2019;04 - 05;635,1;0;362,1;0;0;544,5;168,8;0;0;349;303,2;0;828,7;0;1131,9;0;0;0;644,9;0;0;0;121,9;0;0;283;0;330;0;297
03-01-2019;05 - 06;1679,7;0;236,8;0;0;818;701,8;0;0;349;1123,4;0;958;0;2081,4;0;0;0;266,5;0;0;0;0;0;0;289;0;337;0;303
03-01-2019;06 - 07;3804,8;0;1193,6;0;0;860;612;0;0;349;1485;0;1200;0;2685;0;544,2;0;0;97,9;0;171,1;0;150;0;301,3;0;0;0;0
03-01-2019;07 - 08;6264,4;0;3673,9;0;11,3;0;0;740,8;0;0;1485;0;1200;0;2685;0;1607,8;0;0;600;0;391;0;150;277,8;0;585,3;0;0;0
03-01-2019;08 - 09;6875;0;4974,9;0;1300;0;0;1789,7;0;0;1485;0;1200;0;2685;0;1689,7;0;0;600;0;213,8;0;150;0;0;169,7;0;600;0
03-01-2019;09 - 10;6875;0;4423,9;0;1300;0;0;1184,8;0;0;1485;0;1200;0;2685;0;1631,2;0;0;567,1;0;116,1;0;150;21,9;0;146,4;0;0;0
03-01-2019;10 - 11;6875;0;3879,7;0;406,4;0;0;859,3;0;0;1485;0;1200;0;2685;0;1588,1;0;0;570,2;0;89,5;0;150;211,9;0;175,6;0;0;0
03-01-2019;11 - 12;6875;0;4562,8;0;1234,3;0;0;1111,4;0;0;1485;0;980,5;0;2465,5;0;1438,6;0;0;545;0;55,3;0;150;0;0;0;0;194,4;0
03-01-2019;12 - 13;6875;0;4667,3;0;1300;0;0;1222,9;80,9;0;1485;0;963,1;0;2448,1;0;1453,8;0;0;574,7;0;62,1;0;150;153,8;0;0;0;79,8;0
03-01-2019;13 - 14;6875;0;4931,1;0;1300;0;0;1301,3;159,5;0;1485;0;724,3;0;2209,3;0;1361,9;0;0;564,8;0;84,7;0;150;77,7;0;0;0;368,3;0
