Elspot flow SE in MWh/h;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Data was last updated 31-12-2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Hours;SE2 > SE3;SE3 > SE2;SE3 > SE4;SE4 > SE3;SE4 > DK2;DK2 > SE4;SE3 > NO1;NO1 > SE3;SE3 > DK1;DK1 > SE3;SE1 > FI;FI > SE1;SE3 > FI;FI > SE3;SE > FI;FI > SE;SE1 > SE2;SE2 > SE1;SE2 > NO3;NO3 > SE2;SE1 > NO4;NO4 > SE1;SE2 > NO4;NO4 > SE2;SE4 > PL;PL > SE4;SE4 > LT;LT > SE4;SE4 > DE;DE > SE4;SE4 > LT;LT > SE4;SE4 > DE;DE > SE4;SE2 > SE3;SE3 > SE2;SE3 > SE4;SE4 > SE3;SE4 > DK2;DK2 > SE4;SE3 > NO1;NO1 > SE3;SE3 > DK1;DK1 > SE3;SE1 > FI;FI > SE1;SE3 > FI;FI > SE3;SE > FI;FI > SE;SE1 > SE2;SE2 > SE1;SE2 > NO3;NO3 > SE2;SE1 > NO4;NO4 > SE1;SE2 > NO4;NO4 > SE2;SE4 > PL;PL > SE4
01-01-2020;00 - 01;2912,6;0;3392,2;0;1300;0;1123;0;715;0;556,7;0;264;0;820,7;0;0;0;0;368,1;0;650;0;150;10,3;0;0;0;615;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01-01-2020;01 - 02;2455,5;0;3087;0;1300;0;1095;0;715;0;472,2;0;412,5;0;884,7;0;0;0;0;248,6;0;650;0;150;0;0;0;167,3;615;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01-01-2020;02 - 03;2211,3;0;3169,6;0;1300;0;968;0;715;0;438,6;0;450,9;0;889,5;0;0;0;0;31,2;0;650;0;150;25;0;20,6;0;615;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01-01-2020;03 - 04;2041,1;0;3055,6;0;1300;0;870;0;715;0;299,2;0;699;0;998,2;0;0;0;0;0;0;523,3;0;0;0;0;65,3;0;615;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01-01-2020;04 - 05;2153,9;0;3116,1;0;1300;0;935;0;715;0;286,4;0;834,4;0;1120,8;0;0;0;0;0;0;517,5;0;0,1;0;0;213,4;0;615;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01-01-2020;05 - 06;2140;0;3054,8;0;1300;0;968;0;715;0;48,9;0;888,4;0;937,3;0;0;0;275,8;0;0;0,1;0;0;0;0;203,3;0;615;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01-01-2020;06 - 07;1789,7;0;2847,3;0;1300;0;935;0;715;0;180;0;693,1;0;873,1;0;0;0;597,9;0;0;0;165,2;0;0;3,9;0;19,6;615;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01-01-2020;07 - 08;1724;0;2883,3;0;1300;0;964;0;715;0;235,6;0;351,3;0;586,9;0;0;0;930,9;0;45,2;0;250;0;0;0;0;5,7;615;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01-01-2020;08 - 09;1847,6;0;2919;0;1300;0;1145;0;715;0;334,8;0;186,3;0;521,1;0;0;0;1000;0;0;0;236,8;0;0;0;0;1,3;615;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01-01-2020;09 - 10;1801,2;0;2827;0;1300;0;1125;0;715;0;252;0;181,9;0;433,9;0;0;0;1000;0;0;0;226;0;0;0;0;135,2;615;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
