,flow SE2 > SE3,flow SE4 > SE3,flow NO1 > SE3,flow DK1 > SE3,flow FI > SE3
2015-01-01 00:00:00,0.0,266.7,0.0,350.0,0.0
2015-01-01 01:00:00,0.0,251.8,0.0,325.0,0.0
2015-01-01 02:00:00,0.0,274.8,0.0,318.0,0.0
2015-01-01 03:00:00,0.0,177.7,0.0,316.0,0.0
2015-01-01 04:00:00,0.0,165.1,0.0,317.0,0.0
2015-01-01 05:00:00,0.0,413.7,0.0,319.0,0.0
2015-01-01 06:00:00,0.0,191.3,0.0,344.0,0.0
2015-01-01 07:00:00,0.0,216.2,0.0,350.0,0.0
2015-01-01 08:00:00,0.0,285.3,0.0,350.0,0.0
2015-01-01 09:00:00,0.0,326.8,0.0,350.0,0.0
2015-01-01 10:00:00,0.0,171.7,0.0,350.0,0.0
2015-01-01 11:00:00,123.3,138.1,0.0,350.0,0.0
2015-01-01 12:00:00,179.3,157.9,0.0,350.0,0.0
2015-01-01 13:00:00,320.8,183.1,0.0,350.0,0.0
2015-01-01 14:00:00,678.2,30.4,0.0,350.0,0.0
2015-01-01 15:00:00,528.3,0.0,0.0,350.0,0.0
2015-01-01 16:00:00,570.8,0.0,142.7,350.0,0.0
2015-01-01 17:00:00,573.4,0.0,309.8,350.0,0.0
2015-01-01 18:00:00,512.9,0.0,180.8,350.0,0.0
2015-01-01 19:00:00,506.6,0.0,0.0,350.0,0.0
2015-01-01 20:00:00,155.7,0.0,0.0,350.0,0.0
2015-01-01 21:00:00,0.0,0.0,0.0,318.0,0.0
2015-01-01 22:00:00,0.0,233.5,0.0,282.0,0.0
2015-01-01 23:00:00,0.0,66.5,0.0,235.0,0.0
2015-01-02 00:00:00,0.0,649.7,0.0,327.0,0.0
2015-01-02 01:00:00,0.0,549.6,0.0,296.0,0.0
2015-01-02 02:00:00,0.0,509.4,0.0,269.0,0.0
2015-01-02 03:00:00,0.0,485.1,0.0,265.0,0.0
2015-01-02 04:00:00,0.0,546.9,0.0,295.0,0.0
2015-01-02 05:00:00,0.0,681.7,0.0,350.0,0.0
2015-01-02 06:00:00,0.0,685.8,0.0,350.0,0.0
2015-01-02 07:00:00,0.0,420.7,466.0,350.0,0.0
2015-01-02 08:00:00,0.0,166.7,0.0,350.0,0.0
2015-01-02 09:00:00,0.0,57.5,0.0,350.0,0.0
2015-01-02 10:00:00,458.7,0.0,0.0,350.0,0.0
2015-01-02 11:00:00,693.6,0.0,0.0,350.0,0.0
2015-01-02 12:00:00,854.9,0.0,0.0,350.0,0.0
2015-01-02 13:00:00,878.7,0.0,0.0,350.0,0.0
2015-01-02 14:00:00,939.0,0.0,0.0,350.0,0.0
2015-01-02 15:00:00,1052.5,0.0,0.0,350.0,0.0
2015-01-02 16:00:00,1163.9,0.0,30.7,350.0,0.0
2015-01-02 17:00:00,1204.0,0.0,313.7,350.0,0.0
2015-01-02 18:00:00,1158.1,0.0,99.2,350.0,0.0
2015-01-02 19:00:00,468.5,0.0,148.9,350.0,0.0
2015-01-02 20:00:00,450.6,0.0,0.0,350.0,0.0
2015-01-02 21:00:00,0.0,278.1,0.0,350.0,0.0
