Delivery,Dayahead SE3,Intraday SE3,Dayahead SE3 (s),Intraday SE3 (s)
2015-01-01 00:00:00,27.38,18.82,-0.43320844332797626,-1.0344307256466674
2015-01-01 01:00:00,23.37,20.84,-0.7383636905389385,-0.8814808479262569
2015-01-01 02:00:00,19.33,20.47,-1.045801894711579,-0.9094964195879164
2015-01-01 03:00:00,17.66,17.59,-1.1728864989116554,-1.1275635719813728
2015-01-01 04:00:00,17.53,17.52,-1.18277931241226,-1.1328638152687138
2015-01-01 05:00:00,18.07,20.43,-1.1416860871020558,-0.9125251300378254
2015-01-01 06:00:00,25.23,28.15,-0.5968203589149012,-0.32798401320536563
2015-01-01 07:00:00,26.8,28.67,-0.47734561125375125,-0.28861077735654683
2015-01-01 08:00:00,26.97,28.26,-0.4644088551375759,-0.31965505946811534
2015-01-01 09:00:00,26.29,24.68,-0.5161558796022777,-0.5907246447349815
2015-01-01 10:00:00,26.06,23.78,-0.5336585496418093,-0.6588706298579367
2015-01-01 11:00:00,25.56,25.36,-0.571707832336443,-0.5392365670865266
2015-01-01 12:00:00,25.91,23.45,-0.5450733344501993,-0.683857491069687
2015-01-01 13:00:00,25.42,23.64,-0.5823616314909402,-0.6694711164326186
2015-01-01 14:00:00,26.78,23.97,-0.47886758256153655,-0.6444842552208685
2015-01-01 15:00:00,27.51,24.33,-0.4233156298273713,-0.6172258611716864
2015-01-01 16:00:00,28.32,26.54,-0.36167579186206483,-0.4498896088142076
2015-01-01 17:00:00,28.36,27.0,-0.35863184924649416,-0.4150594386402527
2015-01-01 18:00:00,28.18,26.59,-0.37232959101656227,-0.44610372075182114
2015-01-01 19:00:00,27.81,26.32,-0.4004860602105913,-0.46654751628870766
2015-01-01 20:00:00,27.46,26.01,-0.42712055809683475,-0.49002002227550323
2015-01-01 21:00:00,27.06,25.57,-0.45755998425254185,-0.5233358372245036
2015-01-01 22:00:00,26.4,25.44,-0.5077850374094584,-0.5331791461867083
2015-01-01 23:00:00,18.36,23.86,-1.1196175031391684,-0.6528132089581186
2015-01-02 00:00:00,17.78,18.17,-1.1637546710649433,-1.0836472704576905
2015-01-02 01:00:00,9.62,14.01,-1.7847189646413657,-1.3986331572482391
2015-01-02 02:00:00,7.67,12.14,-1.9331111671504368,-1.5402253707814901
2015-01-02 03:00:00,10.83,12.67,-1.6926397005203522,-1.5000949573201943
2015-01-02 04:00:00,23.14,12.67,-0.75586636057847,-1.5000949573201943
2015-01-02 05:00:00,26.1,22.75,-0.5306146070262384,-0.7368599239430965
2015-01-02 06:00:00,27.25,27.27,-0.443101256828581,-0.39461564310336616
2015-01-02 07:00:00,28.37,28.52,-0.3578708635926014,-0.2999684415437062
2015-01-02 08:00:00,28.37,26.55,-0.3578708635926014,-0.4491324312017302
2015-01-02 09:00:00,28.32,26.38,-0.36167579186206483,-0.4620044506138441
2015-01-02 10:00:00,28.3,22.57,-0.36319776316985014,-0.7504891209676875
2015-01-02 11:00:00,28.39,21.21,-0.3563488922848161,-0.8534652762645976
2015-01-02 12:00:00,28.3,21.39,-0.36319776316985014,-0.8398360792400065
2015-01-02 13:00:00,28.24,21.6,-0.36776367709320634,-0.8239353493779835
2015-01-02 14:00:00,28.12,21.89,-0.37689550493991825,-0.8019771986161425
2015-01-02 15:00:00,28.23,22.71,-0.3685246627470989,-0.7398886343930056
2015-01-02 16:00:00,28.59,23.58,-0.3411291792069626,-0.6740141821074824
2015-01-02 17:00:00,28.73,23.48,-0.33047538005246513,-0.6815859582322551
2015-01-02 18:00:00,28.48,24.18,-0.34950002139978203,-0.6285835253588455
2015-01-02 19:00:00,28.38,24.97,-0.35710987793870885,-0.5687664939731405
2015-01-02 20:00:00,27.85,25.34,-0.3974421175950204,-0.5407509223114811
2015-01-02 21:00:00,27.45,25.0,-0.4278815437507275,-0.5664949611357086
2015-01-02 22:00:00,27.2,24.59,-0.4469061850980444,-0.597539243247277
2015-01-02 23:00:00,25.94,22.92,-0.5427903774885212,-0.7239879045309826
2015-01-03 00:00:00,17.57,22.73,-1.1797353697966895,-0.7383742791680511
2015-01-03 01:00:00,16.87,23.0,-1.2330043655691767,-0.7179304836311645
2015-01-03 02:00:00,5.75,14.03,-2.0792204126978304,-1.3971188020232843
2015-01-03 03:00:00,5.09,15.39,-2.129445465854747,-1.2941426467263744
2015-01-03 04:00:00,7.64,26.16,-1.935394124112115,-0.4786623580883442
2015-01-03 05:00:00,23.85,34.89,-0.7018363791520901,0.182353697604321
2015-01-03 06:00:00,22.92,31.65,-0.7726080449641087,-0.06297184883831777
2015-01-03 07:00:00,26.75,34.05,-0.4811505395232147,0.11875077815622924
2015-01-03 08:00:00,26.98,30.18,-0.46364786948368314,-0.1742769578724778
