Delivery,Dayahead SE3,Intraday SE3,Dayahead SE3 (s),Intraday SE3 (s)
2015-01-01 00:00:00,27.38,18.82,-0.43320844332797626,-1.0252531977076913
2015-01-01 01:00:00,23.37,20.84,-0.7383636905389385,-0.8753787374719054
2015-01-01 02:00:00,19.33,20.47,-1.045801894711579,-0.9028309900893514
2015-01-01 03:00:00,17.66,17.59,-1.1728864989116554,-1.116513388841363
2015-01-01 04:00:00,17.53,17.52,-1.18277931241226,-1.1217070582554745
2015-01-01 05:00:00,18.07,20.43,-1.1416860871020558,-0.9057988011831293
2015-01-01 06:00:00,25.23,28.15,-0.5968203589149012,-0.33301126008398707
2015-01-01 07:00:00,26.8,28.67,-0.47734561125375125,-0.29442971586487365
2015-01-01 08:00:00,26.97,28.26,-0.4644088551375759,-0.3248497795760975
2015-01-01 09:00:00,26.29,24.68,-0.5161558796022777,-0.5904688724692232
2015-01-01 10:00:00,26.06,23.78,-0.5336585496418093,-0.6572446220792267
2015-01-01 11:00:00,25.56,25.36,-0.571707832336443,-0.5400160838749982
2015-01-01 12:00:00,25.91,23.45,-0.5450733344501993,-0.6817290636028949
2015-01-01 13:00:00,25.42,23.64,-0.5823616314909402,-0.6676319609074496
2015-01-01 14:00:00,26.78,23.97,-0.47886758256153655,-0.6431475193837817
2015-01-01 15:00:00,27.51,24.33,-0.4233156298273713,-0.6164372195397803
2015-01-01 16:00:00,28.32,26.54,-0.36167579186206483,-0.4524656566085491
2015-01-01 17:00:00,28.36,27.0,-0.35863184924649416,-0.41833582903010275
2015-01-01 18:00:00,28.18,26.59,-0.37232959101656227,-0.4487558927413266
2015-01-01 19:00:00,27.81,26.32,-0.4004860602105913,-0.46878861762432766
2015-01-01 20:00:00,27.46,26.01,-0.42712055809683475,-0.4917891536011066
2015-01-01 21:00:00,27.06,25.57,-0.45755998425254185,-0.524435075632664
2015-01-01 22:00:00,26.4,25.44,-0.5077850374094584,-0.5340804616874423
2015-01-01 23:00:00,18.36,23.86,-1.1196175031391684,-0.651308999891671
2015-01-02 00:00:00,17.78,18.17,-1.1637546710649433,-1.0734801279815827
2015-01-02 01:00:00,9.62,14.01,-1.7847189646413657,-1.3821324817344887
2015-01-02 02:00:00,7.67,12.14,-1.9331111671504368,-1.520877650368607
2015-01-02 03:00:00,10.83,12.67,-1.6926397005203522,-1.4815541533760492
2015-01-02 04:00:00,23.14,12.67,-0.75586636057847,-1.4815541533760492
2015-01-02 05:00:00,26.1,22.75,-0.5306146070262384,-0.7336657577440088
2015-01-02 06:00:00,27.25,27.27,-0.443101256828581,-0.3983031041471017
2015-01-02 07:00:00,28.37,28.52,-0.3578708635926014,-0.3055590074665411
2015-01-02 08:00:00,28.37,26.55,-0.3578708635926014,-0.45172370383510446
2015-01-02 09:00:00,28.32,26.38,-0.36167579186206483,-0.46433690098366087
2015-01-02 10:00:00,28.3,22.57,-0.36319776316985014,-0.7470209076660095
2015-01-02 11:00:00,28.39,21.21,-0.3563488922848161,-0.8479264848544593
2015-01-02 12:00:00,28.3,21.39,-0.36319776316985014,-0.8345713349324586
2015-01-02 13:00:00,28.24,21.6,-0.36776367709320634,-0.8189903266901244
2015-01-02 14:00:00,28.12,21.89,-0.37689550493991825,-0.7974736962602345
2015-01-02 15:00:00,28.23,22.71,-0.3685246627470989,-0.7366335688377866
2015-01-02 16:00:00,28.59,23.58,-0.3411291792069626,-0.6720836775481166
2015-01-02 17:00:00,28.73,23.48,-0.33047538005246513,-0.6795032052825614
2015-01-02 18:00:00,28.48,24.18,-0.34950002139978203,-0.6275665111414475
2015-01-02 19:00:00,28.38,24.97,-0.35710987793870885,-0.5689522420393333
2015-01-02 20:00:00,27.85,25.34,-0.3974421175950204,-0.5414999894218873
2015-01-02 21:00:00,27.45,25.0,-0.4278815437507275,-0.5667263837189996
2015-01-02 22:00:00,27.2,24.59,-0.4469061850980444,-0.5971464474302236
2015-01-02 23:00:00,25.94,22.92,-0.5427903774885212,-0.7210525605954524
2015-01-03 00:00:00,17.57,22.73,-1.1797353697966895,-0.7351496632908977
2015-01-03 01:00:00,16.87,23.0,-1.2330043655691767,-0.7151169384078967
2015-01-03 02:00:00,5.75,14.03,-2.0792204126978304,-1.3806485761875995
2015-01-03 03:00:00,5.09,15.39,-2.129445465854747,-1.2797429989991496
2015-01-03 04:00:00,7.64,26.16,-1.935394124112115,-0.48065986199943944
2015-01-03 05:00:00,23.85,34.89,-0.7018363791520901,0.16706490921759584
2015-01-03 06:00:00,22.92,31.65,-0.7726080449641087,-0.07332778937841739
2015-01-03 07:00:00,26.75,34.05,-0.4811505395232147,0.10474087624825885
