Delivery,Dayahead SE3,Intraday SE3
2016-01-01 00:00:00,16.39,14.49
2016-01-01 01:00:00,16.04,15.21
2016-01-01 02:00:00,15.74,0.0
2016-01-01 03:00:00,15.57,15.0
2016-01-01 04:00:00,15.47,16.0
2016-01-01 05:00:00,15.75,12.0
2016-01-01 06:00:00,15.36,12.61
2016-01-01 07:00:00,15.37,0.0
2016-01-01 08:00:00,15.19,19.7
2016-01-01 09:00:00,15.39,17.68
2016-01-01 10:00:00,15.78,18.04
2016-01-01 11:00:00,16.15,19.61
2016-01-01 12:00:00,16.5,19.45
2016-01-01 13:00:00,16.72,19.92
2016-01-01 14:00:00,17.17,19.18
2016-01-01 15:00:00,18.0,19.49
2016-01-01 16:00:00,18.53,19.78
2016-01-01 17:00:00,19.11,20.63
2016-01-01 18:00:00,18.68,22.37
2016-01-01 19:00:00,17.93,21.15
2016-01-01 20:00:00,17.69,19.45
2016-01-01 21:00:00,17.33,20.06
2016-01-01 22:00:00,16.75,19.8
2016-01-01 23:00:00,16.25,15.93
2016-01-02 00:00:00,16.47,15.0
2016-01-02 01:00:00,15.89,0.0
2016-01-02 02:00:00,15.03,4.0
2016-01-02 03:00:00,13.19,12.76
2016-01-02 04:00:00,12.69,12.11
2016-01-02 05:00:00,12.94,10.0
2016-01-02 06:00:00,13.59,13.6
2016-01-02 07:00:00,14.25,10.98
2016-01-02 08:00:00,15.7,7.0
2016-01-02 09:00:00,15.72,8.64
2016-01-02 10:00:00,15.97,15.4
2016-01-02 11:00:00,16.14,18.19
2016-01-02 12:00:00,15.87,14.72
2016-01-02 13:00:00,15.98,18.21
2016-01-02 14:00:00,16.12,0.0
2016-01-02 15:00:00,16.57,18.54
2016-01-02 16:00:00,17.29,0.0
2016-01-02 17:00:00,17.52,18.27
2016-01-02 18:00:00,17.37,19.55
2016-01-02 19:00:00,16.95,19.0
2016-01-02 20:00:00,16.56,20.03
2016-01-02 21:00:00,15.83,23.63
2016-01-02 22:00:00,15.82,19.0
2016-01-02 23:00:00,15.31,17.94
2016-01-03 00:00:00,15.99,16.91
2016-01-03 01:00:00,15.87,8.2
2016-01-03 02:00:00,15.76,19.0
2016-01-03 03:00:00,15.59,19.71
2016-01-03 04:00:00,15.69,18.53
2016-01-03 05:00:00,15.83,23.0
2016-01-03 06:00:00,14.98,15.87
2016-01-03 07:00:00,15.53,18.27
2016-01-03 08:00:00,15.79,20.26
2016-01-03 09:00:00,16.36,23.91
2016-01-03 10:00:00,17.15,24.32
2016-01-03 11:00:00,17.94,24.0
2016-01-03 12:00:00,17.94,22.82
2016-01-03 13:00:00,17.66,21.36
2016-01-03 14:00:00,17.66,20.03
2016-01-03 15:00:00,17.6,19.82
2016-01-03 16:00:00,18.61,20.31
2016-01-03 17:00:00,19.11,20.06
2016-01-03 18:00:00,18.86,17.57
2016-01-03 19:00:00,18.51,16.54
2016-01-03 20:00:00,18.08,0.0
2016-01-03 21:00:00,17.72,17.7
2016-01-03 22:00:00,17.03,17.0
2016-01-03 23:00:00,15.74,20.32
2016-01-04 00:00:00,15.96,22.58
2016-01-04 01:00:00,15.81,21.1
2016-01-04 02:00:00,15.56,21.5
2016-01-04 03:00:00,15.57,22.0
2016-01-04 04:00:00,15.92,0.0
2016-01-04 05:00:00,16.76,25.0
2016-01-04 06:00:00,18.01,24.83
2016-01-04 07:00:00,19.54,0.0
2016-01-04 08:00:00,20.49,18.42
2016-01-04 09:00:00,20.49,19.43
2016-01-04 10:00:00,20.47,19.06
2016-01-04 11:00:00,20.14,18.3
2016-01-04 12:00:00,19.85,18.6
2016-01-04 13:00:00,19.83,18.56
2016-01-04 14:00:00,19.88,18.02
2016-01-04 15:00:00,20.09,20.45
2016-01-04 16:00:00,22.06,23.9
2016-01-04 17:00:00,28.48,31.49
2016-01-04 18:00:00,20.54,20.93
2016-01-04 19:00:00,19.77,19.23
2016-01-04 20:00:00,19.05,18.68
2016-01-04 21:00:00,18.5,17.87
2016-01-04 22:00:00,17.71,17.09
2016-01-04 23:00:00,17.03,18.59
2016-01-05 00:00:00,17.68,10.54
2016-01-05 01:00:00,17.33,14.0
2016-01-05 02:00:00,17.24,18.84
2016-01-05 03:00:00,17.32,14.6
2016-01-05 04:00:00,17.66,0.0
2016-01-05 05:00:00,17.92,0.0
2016-01-05 06:00:00,18.8,0.0
2016-01-05 07:00:00,20.51,22.31
2016-01-05 08:00:00,22.58,24.49
2016-01-05 09:00:00,23.13,25.57
2016-01-05 10:00:00,23.21,25.3
2016-01-05 11:00:00,21.91,23.82
2016-01-05 12:00:00,21.29,23.14
2016-01-05 13:00:00,20.98,24.65
2016-01-05 14:00:00,21.03,36.52
2016-01-05 15:00:00,23.17,39.39
2016-01-05 16:00:00,30.98,43.14
2016-01-05 17:00:00,34.63,41.82
2016-01-05 18:00:00,24.18,41.29
2016-01-05 19:00:00,20.83,35.81
2016-01-05 20:00:00,19.89,32.32
2016-01-05 21:00:00,19.39,28.22
2016-01-05 22:00:00,18.73,20.85
2016-01-05 23:00:00,17.97,19.53
2016-01-06 00:00:00,20.02,21.78
2016-01-06 01:00:00,19.63,22.6
2016-01-06 02:00:00,19.33,22.05
2016-01-06 03:00:00,19.35,24.2
2016-01-06 04:00:00,19.51,27.15
2016-01-06 05:00:00,19.81,25.35
2016-01-06 06:00:00,20.5,28.1
