Delivery,Dayahead SE3,Dayahead SE4,Intraday SE3,Intraday SE4
2017-01-01 00:00:00,24.03,24.03,18.97,27.33
2017-01-01 01:00:00,24.03,24.03,20.8,28.43
2017-01-01 02:00:00,24.02,24.02,20.11,22.86
2017-01-01 03:00:00,23.19,23.19,22.97,24.93
2017-01-01 04:00:00,24.1,24.1,26.22,27.74
2017-01-01 05:00:00,25.01,25.01,27.89,25.05
2017-01-01 06:00:00,25.62,25.62,30.02,25.06
2017-01-01 07:00:00,25.87,25.87,25.71,25.07
2017-01-01 08:00:00,26.18,26.18,29.16,27.0
2017-01-01 09:00:00,25.74,25.74,32.55,32.99
2017-01-01 10:00:00,26.89,26.89,33.65,29.57
2017-01-01 11:00:00,27.48,27.48,33.58,29.72
2017-01-01 12:00:00,28.04,28.04,31.89,31.0
2017-01-01 13:00:00,28.7,28.7,33.04,27.5
2017-01-01 14:00:00,29.66,29.66,31.01,27.56
2017-01-01 15:00:00,30.38,30.38,29.56,0.0
2017-01-01 16:00:00,30.8,30.8,29.24,0.0
2017-01-01 17:00:00,30.93,30.93,30.09,0.0
2017-01-01 18:00:00,30.78,30.78,29.9,31.13
2017-01-01 19:00:00,30.51,30.51,29.79,30.5
2017-01-01 20:00:00,30.19,30.19,29.71,29.9
2017-01-01 21:00:00,29.94,29.94,29.67,29.62
2017-01-01 22:00:00,29.65,29.65,28.58,29.42
2017-01-01 23:00:00,29.36,29.36,28.39,28.71
2017-01-02 00:00:00,29.4,29.4,29.43,0.0
2017-01-02 01:00:00,28.91,28.91,29.98,0.0
2017-01-02 02:00:00,28.11,28.11,34.35,32.65
2017-01-02 03:00:00,27.89,27.89,32.07,32.25
2017-01-02 04:00:00,28.26,28.26,31.89,32.74
2017-01-02 05:00:00,30.43,30.43,31.64,32.86
2017-01-02 06:00:00,32.85,32.85,33.2,33.5
2017-01-02 07:00:00,33.91,33.91,33.38,31.1
2017-01-02 08:00:00,34.87,34.87,33.68,32.68
2017-01-02 09:00:00,35.22,35.22,34.12,34.4
2017-01-02 10:00:00,35.41,35.41,31.31,34.84
2017-01-02 11:00:00,35.07,35.07,31.19,36.8
2017-01-02 12:00:00,34.85,34.85,33.19,37.0
2017-01-02 13:00:00,34.7,34.7,33.28,34.2
2017-01-02 14:00:00,34.8,34.8,33.3,32.12
2017-01-02 15:00:00,35.93,35.93,34.82,35.2
2017-01-02 16:00:00,37.52,37.52,38.39,41.07
2017-01-02 17:00:00,38.48,40.01,40.23,51.23
2017-01-02 18:00:00,36.88,39.17,40.24,46.13
2017-01-02 19:00:00,35.52,35.52,35.83,39.66
2017-01-02 20:00:00,35.23,35.23,29.42,33.19
2017-01-02 21:00:00,34.74,34.74,32.91,34.28
2017-01-02 22:00:00,32.99,32.99,30.46,30.79
2017-01-02 23:00:00,30.94,30.94,30.17,30.9
2017-01-03 00:00:00,30.65,30.65,27.49,30.5
2017-01-03 01:00:00,30.37,30.37,29.81,0.0
2017-01-03 02:00:00,30.15,30.15,30.65,0.0
2017-01-03 03:00:00,30.14,30.14,30.27,0.0
2017-01-03 04:00:00,30.4,30.4,30.39,30.0
2017-01-03 05:00:00,32.24,32.24,30.99,0.0
2017-01-03 06:00:00,33.5,33.5,32.86,30.5
2017-01-03 07:00:00,35.8,35.8,34.0,34.1
2017-01-03 08:00:00,36.78,36.78,33.84,34.3
2017-01-03 09:00:00,36.17,36.17,34.34,33.6
2017-01-03 10:00:00,35.4,35.4,31.4,32.81
2017-01-03 11:00:00,34.92,34.92,30.87,31.12
2017-01-03 12:00:00,34.81,34.81,31.53,30.89
2017-01-03 13:00:00,34.09,34.09,31.04,31.83
2017-01-03 14:00:00,34.25,34.25,30.27,31.98
2017-01-03 15:00:00,34.51,34.51,28.75,29.63
